 var_type,size,format,insertion_time,quick_time,merge_time,shell_time,intro_time,tim_time
int,500000,noDuplicates,928.5925,0.206327,2.614638333,0.352971,0.843892,0.947042667
int,1000000,40duplicates,3794.06,0.382623167,5.22443,0.776073667,1.920311667,2.012676667
int,100000,40duplicates,37.8183,0.0339996,0.512165833,0.056593233,0.167453833,0.184260667
int,10000,40duplicates,0.392203,0.003015658,0.049989033,0.003537902,0.01360155,0.01525767
int,50000,sorted,0.000880805,0.01376902,0.254370333,0.00685101,0.07073855,0.067643983
int,50000,20duplicates,9.50589,0.0167474,0.2488415,0.02360295,0.075824083,0.082080167
int,5000,noDuplicates,0.09755405,0.0014795,0.0230199,0.001568615,0.00596247,0.006346413
int,500000,sorted,0.00860298,0.126128717,2.683968333,0.093804217,0.947332333,0.913185833
int,500000,60sorted,152.6105,0.161700333,2.75717,0.183444,0.926444333,0.946440667
int,10000,60sorted,0.06146205,0.00263811,0.051022683,0.002130168,0.014277322,0.014156652
int,1000000,noDuplicates,3801.07,0.411008167,5.636875,0.812542667,1.9554,2.130015
int,1000000,20duplicates,3821.29,0.414956833,5.545475,0.798510333,1.929925,2.034711667
int,50000,noDuplicates,9.588935,0.0163688,0.249498667,0.0245482,0.075524067,0.081699667
int,5000,60sorted,0.0157046,0.00129043,0.0232057,0.000932098,0.005896533,0.005888852
int,5000,sorted,0.00007994,0.001094495,0.02176585,0.0005193,0.005489445,0.005415458
int,100000,20duplicates,38.06845,0.034022883,0.503940167,0.05282905,0.156468333,0.1747085
int,50000,60sorted,1.52791,0.013458817,0.2382735,0.013072938,0.070147767,0.070103217
int,10000,noDuplicates,0.387813,0.003147355,0.048405233,0.003787818,0.013667925,0.01509128
int,500000,20duplicates,951.5705,0.188005667,2.540865,0.3527635,0.874192167,0.9471425
int,500000,40duplicates,947.316,0.187674167,2.519645,0.342163333,0.867710333,0.932384
int,1000000,sorted,0.01718955,0.268821,5.033171667,0.1829805,1.726065,1.692198333
int,5000,20duplicates,0.0928125,0.001463062,0.0225117,0.001509243,0.005781012,0.006353145
int,100000,noDuplicates,37.8105,0.033718167,0.494707833,0.0546675,0.156110833,0.168874333
int,50000,40duplicates,9.43521,0.01869315,0.243694333,0.023900867,0.0750781,0.078798717
int,10000,20duplicates,0.383136,0.003024307,0.0461346,0.003535478,0.0123984,0.01415395
int,100000,sorted,0.001724845,0.023970783,0.481528,0.015084163,0.1455255,0.144335667
int,100000,60sorted,6.081445,0.027807483,0.483390167,0.029143467,0.153611167,0.149616667
int,10000,sorted,0.00017415,0.00227106,0.044526133,0.001164397,0.012083587,0.011516255
int,5000,40duplicates,0.09843835,0.001470613,0.02261,0.001644188,0.006400853,0.007144227
int,1000000,60sorted,605.7955,0.3290975,5.261345,0.3812205,1.81509,1.829731667
string,50000,sorted,0.007071545,0.1025989,0.3594165,0.077971767,0.196735167,0.177451667
string,500000,20duplicates,7677.61,1.300619833,4.577686667,3.145688333,2.708421667,3.201145
string,50000,20duplicates,76.3111,0.102368983,0.421310167,0.2111835,0.219723,0.261063167
string,10000,40duplicates,3.060785,0.01734545,0.076214317,0.029625367,0.035755483,0.0452821
string,10000,60sorted,1.941865,0.0175303,0.071965083,0.0300165,0.0366781,0.036267417
string,100000,sorted,0.0148179,0.207820333,0.751337833,0.173364667,0.4186325,0.384484667
string,5000,40duplicates,0.7553355,0.008053643,0.036030467,0.012812505,0.016618183,0.021617067
string,500000,60sorted,4921.09,1.244085333,4.076488333,2.780971667,2.53785,2.576486667
string,50000,noDuplicates,73.89455,0.102702433,0.4060475,0.213212167,0.208330833,0.25827
string,500000,40duplicates,7515.225,1.331646667,4.447728333,3.353028333,2.691278333,3.15497
string,5000,20duplicates,0.7489175,0.00828467,0.036352567,0.01258522,0.017345617,0.019759567
string,100000,noDuplicates,300.5005,0.221395667,0.842803,0.474979667,0.453595667,0.555115833
string,5000,noDuplicates,0.75786,0.008016898,0.036103717,0.013104647,0.01682425,0.01987675
string,100000,60sorted,192.405,0.215852667,0.782659,0.454941333,0.4391725,0.455344833
string,1000000,20duplicates,30541.9,2.752548333,9.2505,7.587153333,5.670558333,6.678626667
string,10000,noDuplicates,3.038025,0.0203553,0.0765567,0.031396567,0.043000917,0.045159117
string,1000000,noDuplicates,31924.55,2.953643333,9.943928333,7.754373333,6.186868333,7.270081667
string,1000000,sorted,0.165263,2.693163333,8.972653333,2.071555,6.269931667,5.111798333
string,500000,noDuplicates,8534.84,1.290818333,4.456095,3.09202,2.599186667,3.212418333
string,100000,40duplicates,304.9645,0.230166,0.848755667,0.488783333,0.458252333,0.556232
string,5000,60sorted,0.4765915,0.00793733,0.03518605,0.011447625,0.015932483,0.016620467
string,1000000,60sorted,19952.15,2.674513333,8.521685,6.28681,5.609093333,5.567153333
string,5000,sorted,0.000663221,0.007405297,0.03308105,0.006246722,0.016007283,0.013668128
string,100000,20duplicates,307.0495,0.223292833,0.8473795,0.499944667,0.490365167,0.569593
string,10000,20duplicates,3.04535,0.01964095,0.079478483,0.029829383,0.0341273,0.04380805
string,10000,sorted,0.00141344,0.0169576,0.067889017,0.013447902,0.034099067,0.032859733
string,500000,sorted,0.07140805,1.230575333,3.930058333,0.9636875,2.504511667,2.234748333
string,50000,40duplicates,76.6305,0.10607845,0.412288833,0.2138835,0.213099,0.2609475
string,50000,60sorted,49.58145,0.10364705,0.376487333,0.19995,0.211369833,0.213792333
string,1000000,40duplicates,30755.95,2.695923333,9.210545,7.224503333,5.739863333,6.769823333
