 var_type,size,format,insertion_time,quick_time,merge_time,shell_time,intro_time,tim_time
int,500000,noDuplicates,795.005,0.223752333,2.58052,0.290276333,0.73328,0.808556333
int,1000000,40duplicates,3164.07,0.344970333,5.040803333,0.764981333,1.68848,1.673216667
int,100000,40duplicates,31.5688,0.030565367,0.447651667,0.044025733,0.127281667,0.144108667
int,10000,40duplicates,0.332033,0.002881233,0.0408388,0.00295354,0.010385937,0.01084848
int,50000,sorted,0.00069053,0.01084678,0.221524667,0.00563836,0.0558107,0.052349133
int,50000,20duplicates,7.85778,0.0160412,0.204499333,0.019186767,0.064891133,0.0717173
int,5000,noDuplicates,0.0812401,0.001670777,0.021897767,0.00143707,0.005509557,0.005711877
int,500000,sorted,0.00713136,0.124939,2.14388,0.067199467,0.701525333,0.752295333
int,500000,60sorted,126.52,0.136800333,2.456493333,0.197353,0.787073,0.742839667
int,10000,60sorted,0.0475302,0.00243909,0.0436357,0.001627983,0.010409083,0.01031867
int,1000000,noDuplicates,3133.2,0.362745667,5.15387,0.812543,1.740923333,1.695986667
int,1000000,20duplicates,3162.43,0.363698,5.187356667,0.693086333,1.63612,1.83475
int,50000,noDuplicates,7.92707,0.021144533,0.257209667,0.023153033,0.068849167,0.0766727
int,5000,60sorted,0.0133967,0.001436937,0.023068833,0.000790437,0.00528277,0.004876403
int,5000,sorted,0.0000616,0.00107042,0.0191855,0.000412723,0.00485354,0.004351163
int,100000,20duplicates,31.6373,0.031506333,0.454505,0.076398533,0.151969,0.146754
int,50000,60sorted,1.26396,0.014355533,0.256897,0.012081017,0.064374133,0.059936367
int,10000,noDuplicates,0.32368,0.002972203,0.0417724,0.00310329,0.011437127,0.012640167
int,500000,20duplicates,786.741,0.204815,2.676663333,0.302173667,0.793734,0.979349333
int,500000,40duplicates,776.092,0.171295333,2.367783333,0.320813667,0.968326667,0.975461333
int,1000000,sorted,0.0122738,0.275701333,5.085623333,0.151993,1.58721,1.468186667
int,5000,20duplicates,0.074513,0.001429037,0.021002733,0.00144693,0.00571709,0.00588435
int,100000,noDuplicates,31.0339,0.031863433,0.501767,0.055336467,0.159911,0.20389
int,50000,40duplicates,7.75182,0.018513767,0.285108333,0.0241366,0.073061033,0.079253133
int,10000,20duplicates,0.31813,0.003869637,0.051370533,0.003768697,0.015463933,0.014104
int,100000,sorted,0.00148089,0.030203233,0.455773667,0.0117605,0.121745667,0.126717333
int,100000,60sorted,5.00708,0.0306433,0.499295667,0.023609233,0.133276333,0.134163333
int,10000,sorted,0.00014814,0.002109123,0.040001267,0.0008727,0.010181033,0.009779503
int,5000,40duplicates,0.0849797,0.001517637,0.0217297,0.00153295,0.00580205,0.00614276
int,1000000,60sorted,496.103,0.332574,5.16676,0.331673667,1.583746667,1.724166667
string,50000,sorted,0.00534647,0.1066675,0.433862667,0.0874447,0.248264333,0.158193333
string,500000,20duplicates,5145.12,1.1595,3.79335,2.97074,2.526203333,2.707643333
string,50000,20duplicates,51.0532,0.0925364,0.357999,0.178412333,0.180551333,0.198419667
string,10000,40duplicates,2.04046,0.016412667,0.068394967,0.025607133,0.031204333,0.0351044
string,10000,60sorted,1.29043,0.014668567,0.058363033,0.0230511,0.028778433,0.0267651
string,100000,sorted,0.0110993,0.187519667,0.612941333,0.132184,0.338076667,0.290352
string,5000,40duplicates,0.510891,0.00664302,0.029907367,0.010244747,0.013700833,0.016687667
string,500000,60sorted,3289.54,1.101319333,3.29155,2.201023333,2.135266667,2.014066667
string,50000,noDuplicates,51.627,0.093814233,0.325431667,0.165232333,0.165953667,0.194654
string,500000,40duplicates,5142.6,1.047266667,3.53921,2.589896667,2.111606667,2.35087
string,5000,20duplicates,0.516617,0.006549077,0.028324667,0.00975043,0.0140882,0.0152018
string,100000,noDuplicates,205.698,0.181907333,0.676503667,0.375645667,0.368725333,0.419712
string,5000,noDuplicates,0.521201,0.007226987,0.030617767,0.010526023,0.014357733,0.016059633
string,100000,60sorted,131.478,0.186453,0.650694333,0.357953667,0.352062333,0.348082333
string,1000000,20duplicates,20958.6,2.226056667,7.229506667,5.80019,4.389613333,5.00778
string,10000,noDuplicates,2.05775,0.0149537,0.0589857,0.023874233,0.032744033,0.0311729
string,1000000,noDuplicates,23420.2,2.282566667,7.199406667,5.563553333,4.434663333,4.9974
string,1000000,sorted,0.146393,2.104346667,6.3559,1.506143333,4.771896667,3.973953333
string,500000,noDuplicates,7014.88,1.090076667,3.759356667,2.67248,2.547336667,2.36132
string,100000,40duplicates,209.063,0.196977667,0.678447333,0.369538333,0.364086,0.445011
string,5000,60sorted,0.325228,0.008792503,0.033857133,0.010986217,0.0151861,0.013819067
string,1000000,60sorted,14174.1,2.515736667,7.622236667,5.28729,5.11208,4.857153333
string,5000,sorted,0.00045096,0.00721422,0.0338823,0.00544919,0.015691033,0.012330423
string,100000,20duplicates,205.982,0.204841667,0.701881333,0.428626,0.421487333,0.476102
string,10000,20duplicates,2.03632,0.0156958,0.065260833,0.025209333,0.0327624,0.034782433
string,10000,sorted,0.00097963,0.014929767,0.058298567,0.011597553,0.0319003,0.025452233
string,500000,sorted,0.0475168,1.102269,3.73654,0.777301333,2.360603333,1.923963333
string,50000,40duplicates,51.365,0.132910367,0.415602333,0.231417,0.232216,0.313421667
string,50000,60sorted,33.2685,0.1363693,0.402947,0.168965667,0.231045333,0.183677333
string,1000000,40duplicates,20912.4,2.701593333,10.87973667,8.265276667,6.555056667,6.19801
