 var_type,size,format,insertion_time,quick_time,merge_time,shell_time,intro_time,tim_time
int,500000,noDuplicates,1062.18,0.247838,3.20655,0.455514,1.050055,1.199856667
int,1000000,40duplicates,4424.05,0.452143667,6.378243333,0.944439333,2.381526667,2.517253333
int,100000,40duplicates,44.0678,0.039098933,0.616617,0.072308733,0.213413333,0.241423667
int,10000,40duplicates,0.452373,0.003447393,0.063981967,0.004543083,0.017783067,0.020423133
int,50000,sorted,0.00107108,0.017097167,0.318710333,0.008760537,0.088832,0.085176567
int,50000,20duplicates,11.154,0.0184119,0.300001333,0.02903,0.095837333,0.106089867
int,5000,noDuplicates,0.113868,0.00163084,0.0272158,0.001895043,0.007244113,0.008006727
int,500000,sorted,0.0100746,0.145728,3.3657,0.124369,1.243006667,1.23223
int,500000,60sorted,178.701,0.193182333,3.493973333,0.236833,1.218836667,1.25715
int,10000,60sorted,0.0753939,0.003171413,0.065650167,0.002847693,0.019267733,0.0191039
int,1000000,noDuplicates,4468.94,0.483649,6.95366,1.049099667,2.493913333,2.73738
int,1000000,20duplicates,4480.15,0.496550667,6.81604,1.005424,2.412953333,2.553573333
int,50000,noDuplicates,11.2508,0.0183156,0.291826,0.0298257,0.0901568,0.098048267
int,5000,60sorted,0.0180125,0.001332933,0.025874367,0.00116423,0.006761683,0.00700585
int,5000,sorted,0.00009828,0.001090583,0.025360067,0.000683382,0.006379383,0.006814847
int,100000,20duplicates,44.4996,0.037988667,0.598793333,0.065054567,0.190086667,0.219187667
int,50000,60sorted,1.79186,0.0151446,0.277075333,0.016292033,0.086419367,0.0883893
int,10000,noDuplicates,0.451946,0.003456193,0.057968433,0.004730367,0.017628933,0.020016033
int,500000,20duplicates,1116.4,0.214763667,2.994756667,0.437221667,1.05644,1.163666667
int,500000,40duplicates,1118.54,0.216381333,2.94043,0.422426333,1.059106667,1.13809
int,1000000,sorted,0.0221053,0.323354667,5.991603333,0.235729667,2.16261,2.117993333
int,5000,20duplicates,0.111112,0.00156804,0.025865333,0.001834977,0.006966713,0.007716657
int,100000,noDuplicates,44.5871,0.037821067,0.581176333,0.067271267,0.191841667,0.205473333
int,50000,40duplicates,11.1186,0.021332867,0.285943,0.028864033,0.0902094,0.0956575
int,10000,20duplicates,0.448142,0.003242267,0.0528348,0.00425954,0.014528967,0.017369667
int,100000,sorted,0.0019688,0.0274652,0.563419,0.0198281,0.178087333,0.18031
int,100000,60sorted,7.15581,0.031533033,0.560255667,0.036369533,0.192777667,0.186424667
int,10000,sorted,0.000200159,0.002552103,0.050847633,0.00148938,0.0151541,0.013952267
int,5000,40duplicates,0.111897,0.00157841,0.0257981,0.002021813,0.007955273,0.009012693
int,1000000,60sorted,715.488,0.389023,6.329026667,0.480602,2.260596667,2.270166667
string,50000,sorted,0.00879662,0.124609333,0.450503333,0.100705033,0.248759333,0.228166333
string,500000,20duplicates,10210.1,1.603446667,5.8148,4.027273333,3.34452,4.11865
string,50000,20duplicates,101.569,0.124722333,0.532881,0.263552667,0.269618,0.339872
string,10000,40duplicates,4.08111,0.020698367,0.093554167,0.036852,0.044239333,0.059170833
string,10000,60sorted,2.5933,0.0208094,0.089088533,0.0382457,0.0449786,0.046503567
string,100000,sorted,0.0185365,0.249897333,0.932095667,0.220999667,0.521138667,0.491032667
string,5000,40duplicates,0.99978,0.009321353,0.0443385,0.015751633,0.019205167,0.0278142
string,500000,60sorted,6552.64,1.510433333,5.067513333,3.453676667,3.076346667,3.249566667
string,50000,noDuplicates,96.1621,0.123088333,0.500669667,0.266975667,0.248294,0.327950667
string,500000,40duplicates,9887.85,1.60307,5.536003333,4.16818,3.282103333,4.009226667
string,5000,20duplicates,0.981218,0.009668423,0.044280867,0.015803533,0.0212631,0.025350433
string,100000,noDuplicates,395.303,0.268085,1.051476667,0.590983667,0.549322,0.709278
string,5000,noDuplicates,0.994519,0.009564517,0.044819133,0.016193333,0.020278733,0.025569067
string,100000,60sorted,253.332,0.254192667,0.967402667,0.566019667,0.534172333,0.578343333
string,1000000,20duplicates,40125.2,3.308846667,11.54003333,9.463143333,6.83821,8.47298
string,10000,noDuplicates,4.0183,0.0223864,0.094707733,0.038911333,0.053003067,0.058801
string,1000000,noDuplicates,40428.9,3.23397,11.3778,9.148363333,6.67791,8.39991
string,1000000,sorted,0.184133,3.145206667,9.835833333,2.509186667,6.380866667,5.859376667
string,500000,noDuplicates,10054.8,1.558813333,5.49725,3.838886667,3.120976667,4.050583333
string,100000,40duplicates,400.866,0.272295333,1.05728,0.604183,0.546589333,0.707953667
string,5000,60sorted,0.627955,0.009499383,0.042992567,0.0142729,0.019154033,0.0212206
string,1000000,60sorted,25730.2,3.172463333,10.5636,7.806923333,6.794706667,7.042206667
string,5000,sorted,0.000875481,0.00902794,0.040323633,0.007872937,0.0186956,0.0172919
string,100000,20duplicates,408.117,0.271641333,1.052533333,0.626764667,0.601872667,0.720642667
string,10000,20duplicates,4.05438,0.019917967,0.0923545,0.036663767,0.0414346,0.056526033
string,10000,sorted,0.00184725,0.0207029,0.081347467,0.016622467,0.041451033,0.044311133
string,500000,sorted,0.0952993,1.478916667,4.895946667,1.218546667,3.033643333,2.808856667
string,50000,40duplicates,101.896,0.128892667,0.504317667,0.265339,0.260078,0.330697333
string,50000,60sorted,65.8944,0.127282667,0.466276333,0.248833667,0.251263667,0.272039
string,1000000,40duplicates,40599.5,3.22634,11.446,8.987036667,6.85702,8.59459
