var_type,size,format,insertion_time,quick_time,merge_time,shell_time,intro_time,tim_time
int,500000,noDuplicates,N/A,0.155353,2.0421,0.252059,0.662696,0.692956
int,1000000,40duplicates,N/A,0.314707,4.12174,0.56058,1.39379,1.45748
int,100000,40duplicates,N/A,0.0282347,0.39002,0.0393819,0.121087,0.129882
int,10000,40duplicates,N/A,0.00273481,0.0392255,0.00259839,0.00932291,0.00992984
int,50000,sorted,N/A,0.00938084,0.194912,0.00431927,0.0476864,0.0479387
int,50000,20duplicates,N/A,0.0141941,0.192013,0.0173809,0.053353,0.0547496
int,5000,noDuplicates,N/A,0.00136364,0.0192127,0.00138217,0.00500676,0.00520067
int,500000,sorted,N/A,0.105948,1.94997,0.0598084,0.630181,0.579866
int,500000,60sorted,N/A,0.12219,2.0507,0.131656,0.652559,0.624933
int,10000,60sorted,N/A,0.00225598,0.0373123,0.00147073,0.00997421,0.00950432
int,1000000,noDuplicates,N/A,0.331078,4.26689,0.594187,1.42617,1.54558
int,1000000,20duplicates,N/A,0.32188,4.25949,0.605757,1.46047,1.54145
int,50000,noDuplicates,N/A,0.0151066,0.206393,0.019239,0.052445,0.058611
int,5000,60sorted,N/A,0.00121979,0.0188904,0.000676807,0.00465301,0.00462387
int,5000,sorted,N/A,0.00104764,0.0187521,0.000412412,0.00449085,0.00426466
int,100000,20duplicates,N/A,0.028474,0.410318,0.0425726,0.12362,0.130387
int,50000,60sorted,N/A,0.0118601,0.201138,0.00901625,0.0503753,0.0522737
int,10000,noDuplicates,N/A,0.00280063,0.0389091,0.00280388,0.0102316,0.0109193
int,500000,20duplicates,N/A,0.161444,2.04174,0.261617,0.719563,1.2561
int,500000,40duplicates,N/A,0.162387,2.29346,0.364916,1.331,1.30308
int,1000000,sorted,N/A,0.299593,5.53514,0.132723,1.44008,1.35054
int,5000,20duplicates,N/A,0.0014303,0.0206363,0.00141096,0.00604204,0.00590323
int,100000,noDuplicates,N/A,0.0290906,0.437125,0.0470622,0.121381,0.140257
int,50000,40duplicates,N/A,0.0152757,0.209061,0.0200331,0.0612955,0.0663767
int,10000,20duplicates,N/A,0.00317622,0.0431981,0.00312674,0.0115423,0.0119138
int,100000,sorted,N/A,0.0236444,0.42903,0.0119877,0.11698,0.121638
int,100000,60sorted,N/A,0.0283538,0.482888,0.0223997,0.127531,0.131491
int,10000,sorted,N/A,0.00171468,0.039264,0.000781334,0.00967258,0.00886828
int,5000,40duplicates,N/A,0.00137987,0.0212065,0.00171791,0.00618476,0.00654364
int,1000000,60sorted,N/A,0.301897,5.1183,0.30507,1.49969,1.48483
string,50000,sorted,N/A,0.0924247,0.345287,0.0708291,0.155581,0.134335
string,500000,20duplicates,N/A,1.08945,3.70431,2.3791,2.06609,2.49008
string,50000,20duplicates,N/A,0.0862142,0.335685,0.141712,0.167851,0.191118
string,10000,40duplicates,N/A,0.0143547,0.0630106,0.0243201,0.0287042,0.0341224
string,10000,60sorted,N/A,0.0155696,0.0600355,0.0227725,0.0301161,0.0275712
string,100000,sorted,N/A,0.174655,0.592623,0.137283,0.32407,0.284466
string,5000,40duplicates,N/A,0.00620735,0.0283535,0.00977686,0.0126088,0.0153043
string,500000,60sorted,N/A,1.01226,3.25114,2.2163,2.05585,1.99886
string,50000,noDuplicates,N/A,0.0834831,0.331966,0.167955,0.148877,0.1926
string,500000,40duplicates,N/A,1.02621,3.44326,2.56102,2.20202,2.34264
string,5000,20duplicates,N/A,0.00631397,0.030033,0.00996416,0.012685,0.0151682
string,100000,noDuplicates,N/A,0.174195,0.66207,0.377397,0.344793,0.41334
string,5000,noDuplicates,N/A,0.00670845,0.0303998,0.0103064,0.0133969,0.0158738
string,100000,60sorted,N/A,0.180807,0.649854,0.359192,0.362553,0.3483
string,1000000,20duplicates,N/A,2.24381,7.27546,5.751,4.37549,4.99183
string,10000,noDuplicates,N/A,0.0150193,0.055468,0.0245222,0.0344489,0.0288323
string,1000000,noDuplicates,N/A,2.35221,7.18692,5.4943,4.30832,4.89345
string,1000000,sorted,N/A,2.11439,6.27711,1.5008,4.26843,3.58553
string,500000,noDuplicates,N/A,1.03626,3.46913,2.42973,2.1158,2.2811
string,100000,40duplicates,N/A,0.200245,0.681047,0.35525,0.34101,0.400096
string,5000,60sorted,N/A,0.00685256,0.0283751,0.00927525,0.0138427,0.012659
string,1000000,60sorted,N/A,2.17058,6.7039,4.7125,4.15692,4.05753
string,5000,sorted,N/A,0.00663555,0.0279302,0.0048657,0.0143252,0.0104424
string,100000,20duplicates,N/A,0.176083,0.641925,0.38576,0.361135,0.422458
string,10000,20duplicates,N/A,0.0135901,0.0571438,0.0241458,0.0325859,0.0283729
string,10000,sorted,N/A,0.0123505,0.0521847,0.00968176,0.0248235,0.0214753
string,500000,sorted,N/A,0.916417,3.34808,0.688395,2.11486,1.72582
string,50000,40duplicates,N/A,0.0926721,0.349576,0.173327,0.17725,0.189823
string,50000,60sorted,N/A,0.0844889,0.309437,0.155547,0.155509,0.145615
string,1000000,40duplicates,N/A,2.38722,13.1733,10.9523,7.83129,6.94685
