var_type,size,format,insertion_time,quick_time,merge_time,shell_time,intro_time,tim_time
int,500000,noDuplicates,N/A,0.200656,2.02257,0.257697,0.643039,0.724473
int,1000000,40duplicates,N/A,0.316756,4.17672,0.585884,1.47927,1.52156
int,100000,40duplicates,N/A,0.0303008,0.407479,0.0417715,0.121706,0.125274
int,10000,40duplicates,N/A,0.00282526,0.0378428,0.00271487,0.0102345,0.0106959
int,50000,sorted,N/A,0.0117532,0.194529,0.00529094,0.0495015,0.0497248
int,50000,20duplicates,N/A,0.0150467,0.198317,0.017221,0.057262,0.0619813
int,5000,noDuplicates,N/A,0.00141145,0.0197275,0.00129784,0.00483606,0.00519094
int,500000,sorted,N/A,0.126061,1.99477,0.0663686,0.607275,0.60306
int,500000,60sorted,N/A,0.125473,2.02363,0.131613,0.65128,0.644738
int,10000,60sorted,N/A,0.00213387,0.0377761,0.0014889,0.00958544,0.00980389
int,1000000,noDuplicates,N/A,0.328394,4.28579,0.577212,1.42935,1.55773
int,1000000,20duplicates,N/A,0.325747,4.33346,0.604635,1.41644,1.5238
int,50000,noDuplicates,N/A,0.0155184,0.207914,0.0177741,0.0539325,0.0646421
int,5000,60sorted,N/A,0.00100957,0.0184432,0.000623813,0.00418634,0.0038919
int,5000,sorted,N/A,0.000768954,0.0163131,0.000357747,0.00438756,0.00366331
int,100000,20duplicates,N/A,0.0283808,0.418295,0.045447,0.135512,0.133338
int,50000,60sorted,N/A,0.0107016,0.194681,0.0105736,0.0513844,0.0519893
int,10000,noDuplicates,N/A,0.00265398,0.0377858,0.00282115,0.00990268,0.010752
int,500000,20duplicates,N/A,0.158737,2.12709,0.273046,0.703876,0.712475
int,500000,40duplicates,N/A,0.167322,2.14617,0.274433,0.689368,0.748404
int,1000000,sorted,N/A,0.243539,4.22013,0.14378,1.385,1.31573
int,5000,20duplicates,N/A,0.00142257,0.0200123,0.00141361,0.00508207,0.00532292
int,100000,noDuplicates,N/A,0.0319787,0.424741,0.0436957,0.128485,0.135825
int,50000,40duplicates,N/A,0.015743,0.214148,0.0199092,0.0602028,0.0621547
int,10000,20duplicates,N/A,0.00309203,0.0418319,0.00300177,0.0106741,0.0118145
int,100000,sorted,N/A,0.0216857,0.411644,0.0106659,0.11522,0.109584
int,100000,60sorted,N/A,0.0256016,0.410705,0.02186,0.118629,0.119689
int,10000,sorted,N/A,0.00231169,0.0408724,0.000923636,0.00987422,0.00966133
int,5000,40duplicates,N/A,0.00152413,0.0203868,0.00133374,0.00525056,0.00565656
int,1000000,60sorted,N/A,0.268288,4.31814,0.293851,1.37561,1.39617
string,50000,sorted,N/A,0.0818648,0.268243,0.055526,0.14492,0.127897
string,500000,20duplicates,N/A,1.03581,3.37243,2.22955,2.0264,2.23687
string,50000,20duplicates,N/A,0.076403,0.301886,0.146004,0.162017,0.178965
string,10000,40duplicates,N/A,0.0146546,0.0610096,0.0227412,0.0294627,0.0333746
string,10000,60sorted,N/A,0.014685,0.0576595,0.0225213,0.0285519,0.0248185
string,100000,sorted,N/A,0.172128,0.574551,0.115782,0.313603,0.276635
string,5000,40duplicates,N/A,0.00633036,0.0281714,0.00925848,0.0127493,0.0163064
string,500000,60sorted,N/A,0.985498,3.15089,2.06845,2.10738,1.89918
string,50000,noDuplicates,N/A,0.0883036,0.313317,0.155232,0.161884,0.187549
string,500000,40duplicates,N/A,1.0131,3.43072,2.46986,1.98269,2.31408
string,5000,20duplicates,N/A,0.0070402,0.0296723,0.0100005,0.0150071,0.0153877
string,100000,noDuplicates,N/A,0.187931,0.676036,0.364753,0.374233,0.413474
string,5000,noDuplicates,N/A,0.006957,0.0293906,0.00985637,0.0140473,0.0154269
string,100000,60sorted,N/A,0.181275,0.633406,0.353165,0.325836,0.329468
string,1000000,20duplicates,N/A,2.17799,6.93568,5.58223,4.34985,5.01463
string,10000,noDuplicates,N/A,0.0148385,0.0601034,0.0230135,0.0315601,0.0322047
string,1000000,noDuplicates,N/A,2.23863,7.12697,5.5051,4.41744,4.95987
string,1000000,sorted,N/A,2.01945,6.48685,1.49756,5.75866,4.813
string,500000,noDuplicates,N/A,1.15744,4.31002,3.16493,3.41625,2.4485
string,100000,40duplicates,N/A,0.202454,0.680389,0.372186,0.374971,0.512371
string,5000,60sorted,N/A,0.0121259,0.043388,0.0136378,0.0168975,0.015531
string,1000000,60sorted,N/A,3.19085,9.50756,6.2366,6.8617,6.39873
string,5000,sorted,N/A,0.00937581,0.0491446,0.00701434,0.0186266,0.0171418
string,100000,20duplicates,N/A,0.2526,0.82683,0.480292,0.519229,0.616989
string,10000,20duplicates,N/A,0.0191231,0.0775494,0.0274781,0.0375903,0.0419656
string,10000,sorted,N/A,0.0180927,0.0672901,0.0144107,0.0436268,0.0321569
string,500000,sorted,N/A,1.29914,4.67743,0.850244,2.55284,2.20575
string,50000,40duplicates,N/A,0.142169,0.487741,0.207697,0.242274,0.376889
string,50000,60sorted,N/A,0.214369,0.564081,0.190946,0.345034,0.238684
string,1000000,40duplicates,N/A,3.15597,11.1683,8.11599,7.17332,6.56665
