var_type,size,format,insertion_time,quick_time,merge_time,shell_time,intro_time,tim_time
int,500000,noDuplicates,N/A,0.166278,1.90731,0.236014,0.618397,0.652866
int,1000000,40duplicates,N/A,0.303421,3.91119,0.654883,1.44884,1.44927
int,100000,40duplicates,N/A,0.0276203,0.406804,0.0416386,0.128448,0.128991
int,10000,40duplicates,N/A,0.00277897,0.038391,0.00248904,0.00938487,0.00983652
int,50000,sorted,N/A,0.00911402,0.191415,0.00485085,0.0560208,0.0508248
int,50000,20duplicates,N/A,0.0151837,0.200803,0.0188292,0.0535955,0.0560123
int,5000,noDuplicates,N/A,0.00121367,0.0178258,0.00128292,0.00435888,0.0044483
int,500000,sorted,N/A,0.118513,1.94199,0.0635863,0.655365,0.590064
int,500000,60sorted,N/A,0.141541,2.00292,0.125113,0.64147,0.634428
int,10000,60sorted,N/A,0.00204434,0.036339,0.00143678,0.00908815,0.00884554
int,1000000,noDuplicates,N/A,0.3493,4.10956,0.549779,1.41396,1.48915
int,1000000,20duplicates,N/A,0.320457,4.24114,0.590384,1.43708,1.51672
int,50000,noDuplicates,N/A,0.0144199,0.206323,0.019451,0.0589749,0.0611011
int,5000,60sorted,N/A,0.00114934,0.0190661,0.000662599,0.00481884,0.0044512
int,5000,sorted,N/A,0.00100552,0.0187336,0.00037561,0.0050591,0.00418441
int,100000,20duplicates,N/A,0.0303238,0.404067,0.0417648,0.121283,0.127648
int,50000,60sorted,N/A,0.0114088,0.199704,0.0097591,0.0568109,0.049738
int,10000,noDuplicates,N/A,0.00266048,0.0395766,0.00299781,0.00961265,0.00973909
int,500000,20duplicates,N/A,0.15689,2.10209,0.266548,0.70128,0.73711
int,500000,40duplicates,N/A,0.157874,2.12744,0.265188,0.66922,0.719771
int,1000000,sorted,N/A,0.226639,4.11827,0.130444,1.32907,1.2905
int,5000,20duplicates,N/A,0.0013501,0.0194802,0.00121404,0.00475111,0.00501881
int,100000,noDuplicates,N/A,0.0308848,0.419514,0.0413198,0.127449,0.129769
int,50000,40duplicates,N/A,0.0150843,0.206308,0.0187732,0.0594519,0.0604114
int,10000,20duplicates,N/A,0.00283506,0.0391143,0.00280916,0.0100882,0.0108056
int,100000,sorted,N/A,0.022215,0.405859,0.0102455,0.109056,0.105601
int,100000,60sorted,N/A,0.0224327,0.405663,0.0215818,0.111005,0.115531
int,10000,sorted,N/A,0.0017832,0.0382798,0.000856825,0.00846338,0.00888111
int,5000,40duplicates,N/A,0.00140764,0.0192427,0.00123762,0.00475767,0.00517817
int,1000000,60sorted,N/A,0.259552,4.27155,0.277285,1.35969,1.42055
string,50000,sorted,N/A,0.0853896,0.27131,0.0551008,0.141407,0.125593
string,500000,20duplicates,N/A,0.997992,3.38257,2.27268,2.05675,2.27412
string,50000,20duplicates,N/A,0.0837853,0.312581,0.158706,0.167762,0.182729
string,10000,40duplicates,N/A,0.0149046,0.0622808,0.0238415,0.0262437,0.0312397
string,10000,60sorted,N/A,0.0140523,0.055813,0.0219711,0.0269485,0.026222
string,100000,sorted,N/A,0.163714,0.582498,0.133409,0.315136,0.279325
string,5000,40duplicates,N/A,0.00670211,0.0281871,0.00983037,0.013951,0.0146734
string,500000,60sorted,N/A,1.01538,3.11474,2.12853,2.00509,1.94504
string,50000,noDuplicates,N/A,0.0822472,0.311767,0.164745,0.168274,0.186056
string,500000,40duplicates,N/A,1.06405,3.44928,2.58299,2.09678,2.32441
string,5000,20duplicates,N/A,0.00683657,0.0287495,0.00984318,0.015514,0.014716
string,100000,noDuplicates,N/A,0.177921,0.644604,0.363742,0.351734,0.406162
string,5000,noDuplicates,N/A,0.00715408,0.0284622,0.0100234,0.0146618,0.0127238
string,100000,60sorted,N/A,0.189964,0.616235,0.348958,0.347871,0.332498
string,1000000,20duplicates,N/A,2.27596,7.09839,5.83108,4.59541,4.97487
string,10000,noDuplicates,N/A,0.0247604,0.0600707,0.0244627,0.0332506,0.0292496
string,1000000,noDuplicates,N/A,2.17305,7.18057,5.67033,4.6057,4.97796
string,1000000,sorted,N/A,2.09597,6.24351,1.51635,4.31915,3.5568
string,500000,noDuplicates,N/A,1.05809,3.50659,2.34311,2.10105,2.38171
string,100000,40duplicates,N/A,0.193549,0.651598,0.379177,0.387281,0.407347
string,5000,60sorted,N/A,0.0062884,0.028452,0.00988486,0.0139367,0.0132013
string,1000000,60sorted,N/A,2.32343,6.65496,4.89673,4.62821,4.24579
string,5000,sorted,N/A,0.00566607,0.0262629,0.00456939,0.0145549,0.00973213
string,100000,20duplicates,N/A,0.179949,0.660271,0.390118,0.382995,0.418714
string,10000,20duplicates,N/A,0.0278363,0.0720578,0.0217819,0.0288438,0.0322441
string,10000,sorted,N/A,0.0142869,0.0547817,0.010329,0.02842,0.021826
string,500000,sorted,N/A,1.00368,3.03781,0.707174,2.0256,1.71959
string,50000,40duplicates,N/A,0.0894861,0.321237,0.16475,0.173596,0.185285
string,50000,60sorted,N/A,0.0793661,0.299507,0.154817,0.165797,0.154654
string,1000000,40duplicates,N/A,2.2041,7.18781,5.60007,4.91904,5.01714
