 var_type,size,format,insertion_time,quick_time,merge_time,shell_time,intro_time,tim_time
int,500000,noDuplicates,1062.18,0.201808,2.77586,0.40866,0.993895,1.09327
int,1000000,40duplicates,4424.05,0.461533,6.28894,0.956857,2.30195,2.51588
int,100000,40duplicates,44.0678,0.0388169,0.588845,0.0668733,0.193987,0.212685
int,10000,40duplicates,0.452373,0.00345996,0.0536523,0.00454805,0.0161476,0.01727
int,50000,sorted,0.00107108,0.0139578,0.282513,0.0088938,0.0867894,0.0848002
int,50000,20duplicates,11.154,0.0188044,0.296616,0.0292277,0.0903923,0.110477
int,5000,noDuplicates,0.113868,0.00160935,0.0289623,0.00187175,0.00776139,0.00857962
int,500000,sorted,0.0100746,0.143552,2.9121,0.111394,1.0762,1.01744
int,500000,60sorted,178.701,0.170678,2.98774,0.222254,1.07879,1.10298
int,10000,60sorted,0.0753939,0.0025656,0.0532747,0.00275612,0.0163704,0.0152868
int,1000000,noDuplicates,4468.94,0.447833,6.17716,0.973487,2.39373,2.51168
int,1000000,20duplicates,4480.15,0.447348,6.24168,0.99476,2.33022,2.48783
int,50000,noDuplicates,11.2508,0.0191075,0.289218,0.0305859,0.0922258,0.100395
int,5000,60sorted,0.0180125,0.00135961,0.0264883,0.00120756,0.00642091,0.00688942
int,5000,sorted,9.828e-05,0.00127049,0.0265428,0.0006737,0.00628704,0.0073991
int,100000,20duplicates,44.4996,0.0385726,0.593718,0.0667138,0.193735,0.215386
int,50000,60sorted,1.79186,0.0150875,0.288244,0.0162578,0.0895201,0.0903567
int,10000,noDuplicates,0.451946,0.00341646,0.0539085,0.00447603,0.0164021,0.0175176
int,500000,20duplicates,1116.4,0.211449,3.03824,0.436333,1.11411,1.17721
int,500000,40duplicates,1118.54,0.215422,3.03737,0.436119,1.11028,1.1926
int,1000000,sorted,0.0221053,0.351568,5.95763,0.237407,2.27368,2.14699
int,5000,20duplicates,0.111112,0.00163077,0.0272923,0.00182527,0.00717432,0.0079156
int,100000,noDuplicates,44.5871,0.03824,0.600148,0.0674909,0.198034,0.217002
int,50000,40duplicates,11.1186,0.0200038,0.284283,0.0292493,0.0926456,0.0992638
int,10000,20duplicates,0.448142,0.00322118,0.0556267,0.0041807,0.0146122,0.0196008
int,100000,sorted,0.0019688,0.0266189,0.572822,0.0202961,0.183383,0.185125
int,100000,60sorted,7.15581,0.0299302,0.57733,0.0383137,0.197173,0.196235
int,10000,sorted,0.000200159,0.00273008,0.0529762,0.00147358,0.0179848,0.0138439
int,5000,40duplicates,0.111897,0.00170964,0.0260556,0.00207455,0.00907821,0.00798345
int,1000000,60sorted,715.488,0.397749,6.06983,0.477959,2.21196,2.28335
string,50000,sorted,0.00879662,0.139737,0.47293,0.102466,0.269622,0.234385
string,500000,20duplicates,10210.1,1.64007,5.82095,3.9614,3.40174,4.18839
string,50000,20duplicates,101.569,0.123114,0.54834,0.271662,0.274455,0.356172
string,10000,40duplicates,4.08111,0.0210189,0.0993715,0.0387248,0.0435772,0.0610545
string,10000,60sorted,2.5933,0.0227409,0.0931251,0.0366072,0.0486121,0.0498701
string,100000,sorted,0.0185365,0.248247,0.968994,0.217281,0.563002,0.516854
string,5000,40duplicates,0.99978,0.00961879,0.0467183,0.0166743,0.0191741,0.028031
string,500000,60sorted,6552.64,1.52423,4.98847,3.44751,2.97456,3.1588
string,50000,noDuplicates,96.1621,0.126174,0.483812,0.258221,0.253542,0.312774
