var_type,size,format,insertion_time,quick_time,merge_time,shell_time,intro_time,tim_time
int,500000,noDuplicates,795.005,0.165051,2.11687,0.265615,0.672259,0.745473
int,1000000,40duplicates,3164.07,0.326764,4.27308,0.592526,1.45301,1.58412
int,100000,40duplicates,31.5688,0.0305986,0.417563,0.0407782,0.124523,0.130625
int,10000,40duplicates,0.332033,0.00240456,0.0348771,0.00258233,0.00961603,0.0103815
int,50000,sorted,0.00069053,0.0103074,0.197744,0.00505893,0.0516443,0.0501255
int,50000,20duplicates,7.85778,0.0151627,0.202364,0.0187736,0.0600127,0.0619248
int,5000,noDuplicates,0.0812401,0.00139387,0.019301,0.00132645,0.004955,0.00505642
int,500000,sorted,0.00713136,0.0958523,2.02013,0.0656958,0.645012,0.597729
int,500000,60sorted,126.52,0.116192,2.06426,0.137265,0.639921,0.643836
int,10000,60sorted,0.0475302,0.001999,0.0372471,0.00144906,0.0091904,0.00962555
int,1000000,noDuplicates,3133.2,0.319419,4.33054,0.591718,1.43119,1.55271
int,1000000,20duplicates,3162.43,0.342111,4.31773,0.595075,1.4773,1.54371
int,50000,noDuplicates,7.92707,0.014435,0.21016,0.0199805,0.0634948,0.064607
int,5000,60sorted,0.0133967,0.00132197,0.0204084,0.00066455,0.00491135,0.00414646
int,5000,sorted,6.16E-05,0.00101474,0.0166772,0.00034205,0.00454191,0.00404962
int,100000,20duplicates,31.6373,0.0295574,0.414403,0.0418801,0.125143,0.13178
int,50000,60sorted,1.26396,0.0118812,0.205276,0.0101778,0.051373,0.0535464
int,10000,noDuplicates,0.32368,0.00291363,0.0396229,0.00280593,0.01047,0.0108261
int,500000,20duplicates,786.741,0.166259,2.08266,0.276191,0.685977,0.723464
int,500000,40duplicates,776.092,0.159037,2.05061,0.255003,0.687503,0.714739
int,1000000,sorted,0.0122738,0.198621,4.03153,0.132546,1.27628,1.25504
int,5000,20duplicates,0.074513,0.00128955,0.0180706,0.00110384,0.00443419,0.00477446
int,100000,noDuplicates,31.0339,0.0282932,0.400121,0.0463347,0.115989,0.14238
int,50000,40duplicates,7.75182,0.0153321,0.201043,0.0187453,0.0638983,0.067371
int,10000,20duplicates,0.31813,0.00289081,0.0402507,0.00293456,0.0105509,0.0111901
int,100000,sorted,0.00148089,0.021222,0.388438,0.00943588,0.111345,0.106412
int,100000,60sorted,5.00708,0.0251144,0.405868,0.0232001,0.112794,0.107896
int,10000,sorted,0.00014814,0.00184614,0.0396463,0.00088653,0.0093353,0.00950768
int,5000,40duplicates,0.0849797,0.00135574,0.0203961,0.00137257,0.00518506,0.00556664
int,1000000,60sorted,496.103,0.249002,4.0825,0.281297,1.39514,1.37132
string,50000,sorted,0.00534647,0.0738796,0.263878,0.057227,0.136533,0.126841
string,500000,20duplicates,5145.12,0.979437,3.30906,2.2229,2.05527,2.28578
string,50000,20duplicates,51.0532,0.0754313,0.295652,0.163702,0.162978,0.179537
string,10000,40duplicates,2.04046,0.012925,0.0572353,0.0204062,0.0268259,0.0317344
string,10000,60sorted,1.29043,0.0134667,0.0556319,0.0229797,0.0275149,0.0260504
string,100000,sorted,0.0110993,0.168526,0.563677,0.117571,0.327202,0.273288
string,5000,40duplicates,0.510891,0.00649668,0.0261124,0.00897286,0.0120378,0.0145148
string,500000,60sorted,3289.54,0.938659,3.02656,2.10777,1.96857,1.8887
string,50000,noDuplicates,51.627,0.0794851,0.30916,0.156538,0.165524,0.189181
string,500000,40duplicates,5142.6,1.01228,3.29506,2.51906,2.14414,2.30078
string,5000,20duplicates,0.516617,0.00653917,0.0287966,0.00843471,0.0110328,0.0141131
string,100000,noDuplicates,205.698,0.168762,0.632152,0.366069,0.345774,0.391712
string,5000,noDuplicates,0.521201,0.00642101,0.0253947,0.00977468,0.012598,0.0144953
string,100000,60sorted,131.478,0.166565,0.580311,0.334957,0.331613,0.327466
string,1000000,20duplicates,20958.6,2.14006,6.85829,5.66434,4.66392,4.83753
string,10000,noDuplicates,2.05775,0.016114,0.0544607,0.0247751,0.0346314,0.0347831
string,1000000,noDuplicates,23420.2,3.70442,11.4343,7.93509,8.12423,8.56265
string,1000000,sorted,0.146393,2.64701,11.9568,1.87391,10.1738,6.05236
string,500000,noDuplicates,7014.88,1.00256,3.35346,2.36238,2.05452,2.42759
string,100000,40duplicates,209.063,0.190677,0.614912,0.361969,0.351222,0.408656
string,5000,60sorted,0.325228,0.00628677,0.0261034,0.00789631,0.0115829,0.0114342
string,1000000,60sorted,14174.1,2.04694,6.32511,4.68009,4.36611,4.01885
string,5000,sorted,0.00045096,0.0053647,0.0235652,0.00453615,0.0118556,0.0104771
string,100000,20duplicates,205.982,0.176546,0.626876,0.358063,0.380331,0.446811
string,10000,20duplicates,2.03632,0.0156086,0.0614365,0.020422,0.0261803,0.0314644
string,10000,sorted,0.00097963,0.0125113,0.0522329,0.00921591,0.0248519,0.0187857
string,500000,sorted,0.0475168,0.952332,2.92773,0.721358,1.9697,1.66419
string,50000,40duplicates,51.365,0.078928,0.307503,0.161091,0.161409,0.200643
string,50000,60sorted,33.2685,0.0781733,0.277373,0.151833,0.166077,0.160012
string,1000000,40duplicates,20912.4,2.0601,6.79772,5.34617,4.32209,4.94691
